id,age,wp,SPA,y,a
16,67,0,60,0,3587.9028785006
16,68,0,60,0,1925.0774973316
16,69,0,60,0,629.7500707282
16,70,1,60,36253.0901483164,323.1795192606
16,71,0,60,0,6413.3985142548
16,72,0,60,0,3235.5303000278
16,73,1,60,37061.7865277942,364.8325940278
16,74,0,60,0,7594.451752501
16,75,0,60,0,4490.5455311935
17,52,0,60,0,3129.8473212949
17,53,0,60,0,2017.3380567348
17,54,0,60,0,1027.799183497
17,55,0,60,0,532.1737208962
17,56,1,60,17886.2573026017,168.9485310542
17,57,1,60,18811.7143526809,1586.5581574083
17,58,1,60,19493.5371406891,1175.797160238
